Variable,Value
CarbonDeep,3213.0190000807
CarbonShallow,3562.6460000239
CarbonMineralSum,23913.2799990511
OrganicNitrogenSum,2121.3805664286
AvailableNitrogenSum,0.5276505
RH,300
GPPAll3,398.1823332813
NPPAll3,199.0911666327
VEGCL3,139.0332932452
VEGCW3,0
VEGCR3,242.5761381376
VEGCSUM3,381.6094314086
VEGNL3,5.4966211088
VEGNW3,0
VEGNR3,5.1068660663
VEGNSUM3,10.6034871751
VEGLBLN3,2.1206974351
GPPAll4,34.1619999995
NPPAll4,107.1477103019
VEGCL4,23.7903749996
VEGCW4,0
VEGCR4,153.2339717133
VEGCSUM4,177.0243467192
VEGNL4,1.710828822
VEGNW4,0
VEGNR4,3.225978352
VEGNSUM4,4.936807174
VEGLBLN4,0.9873614347
GPPAll5,25.6594999996
NPPAll5,12.8297500006
VEGCL5,12.8297500006
VEGCW5,0
VEGCR5,0
VEGCSUM5,12.8297500006
VEGNL5,0.3522029585
VEGNW5,0
VEGNR5,0
VEGNSUM5,0.3522029585
VEGLBLN5,0.0704405917
GPPAll6,34.1619999995
NPPAll6,17.0810000008
VEGCL6,43.9335432517
VEGCW6,0
VEGCR6,0
VEGCSUM6,43.9335432517
VEGNL6,1.6155263072
VEGNW6,0
VEGNR6,0
VEGNSUM6,1.6155263072
VEGLBLN6,0.3231052615
